time,id,selection,a,b,c_in,m,f,p,g,c4,ab
2456,0002,0000,1101,0101,0,1,0010,1,1,1,1
2466,0002,0000,1101,0110,0,1,0010,1,1,1,1
2476,0002,0000,1101,0111,0,1,0010,1,1,1,1
2486,0002,0000,1101,1000,0,1,0010,1,1,1,1
2496,0002,0000,1101,1001,0,1,0010,1,1,1,1
2506,0002,0000,1101,1010,0,1,0010,1,1,1,1
2516,0002,0000,1101,1011,0,1,0010,1,1,1,1
2526,0002,0000,1101,1100,0,1,0010,1,1,1,1
2536,0002,0000,1101,1101,0,1,0010,1,1,1,1
2546,0002,0000,1101,1110,0,1,0010,1,1,1,1
2556,0002,0000,1101,1111,0,1,0010,1,1,1,1
2566,0002,0000,1110,0000,0,1,0001,1,1,1,1
2576,0002,0000,1110,0001,0,1,0001,1,1,1,1
2586,0002,0000,1110,0010,0,1,0001,1,1,1,1
2596,0002,0000,1110,0011,0,1,0001,1,1,1,1
2606,0002,0000,1110,0100,0,1,0001,1,1,1,1
2616,0002,0000,1110,0101,0,1,0001,1,1,1,1
2626,0002,0000,1110,0110,0,1,0001,1,1,1,1
2636,0002,0000,1110,0111,0,1,0001,1,1,1,1
2646,0002,0000,1110,1000,0,1,0001,1,1,1,1
2656,0002,0000,1110,1001,0,1,0001,1,1,1,1
2666,0002,0000,1110,1010,0,1,0001,1,1,1,1
2676,0002,0000,1110,1011,0,1,0001,1,1,1,1
2686,0002,0000,1110,1100,0,1,0001,1,1,1,1
2696,0002,0000,1110,1101,0,1,0001,1,1,1,1
2706,0002,0000,1110,1110,0,1,0001,1,1,1,1
2716,0002,0000,1110,1111,0,1,0001,1,1,1,1
2726,0002,0000,1111,0000,0,1,0000,1,1,1,1
2736,0002,0000,1111,0001,0,1,0000,1,1,1,1
2746,0002,0000,1111,0010,0,1,0000,1,1,1,1
2756,0002,0000,1111,0011,0,1,0000,1,1,1,1
2766,0002,0000,1111,0100,0,1,0000,1,1,1,1
2776,0002,0000,1111,0101,0,1,0000,1,1,1,1
2786,0002,0000,1111,0110,0,1,0000,1,1,1,1
2796,0002,0000,1111,0111,0,1,0000,1,1,1,1
2806,0002,0000,1111,1000,0,1,0000,1,1,1,1
2816,0002,0000,1111,1001,0,1,0000,1,1,1,1
2826,0002,0000,1111,1010,0,1,0000,1,1,1,1
2836,0002,0000,1111,1011,0,1,0000,1,1,1,1
2846,0002,0000,1111,1100,0,1,0000,1,1,1,1
2856,0002,0000,1111,1101,0,1,0000,1,1,1,1
2866,0002,0000,1111,1110,0,1,0000,1,1,1,1
2876,0002,0000,1111,1111,0,1,0000,1,1,1,1
2886,0002,0001,0000,0000,0,1,1111,1,1,1,1
2896,0002,0001,0000,0001,0,1,1110,1,1,1,1
2906,0002,0001,0000,0010,0,1,1101,1,1,1,1
2916,0002,0001,0000,0011,0,1,1100,1,1,1,1
2926,0002,0001,0000,0100,0,1,1011,1,1,1,1
2936,0002,0001,0000,0101,0,1,1010,1,1,1,1
2946,0002,0001,0000,0110,0,1,1001,1,1,1,1
2956,0002,0001,0000,0111,0,1,1000,1,1,1,1
2966,0002,0001,0000,1000,0,1,0111,1,1,1,1
2976,0002,0001,0000,1001,0,1,0110,1,1,1,1
2986,0002,0001,0000,1010,0,1,0101,1,1,1,1
2996,0002,0001,0000,1011,0,1,0100,1,1,1,1
3006,0002,0001,0000,1100,0,1,0011,1,1,1,1
3016,0002,0001,0000,1101,0,1,0010,1,1,1,1
3026,0002,0001,0000,1110,0,1,0001,1,1,1,1
3036,0002,0001,0000,1111,0,1,0000,1,1,1,1
3046,0002,0001,0001,0000,0,1,1110,1,1,1,1
3056,0002,0001,0001,0001,0,1,1110,1,1,1,1
3066,0002,0001,0001,0010,0,1,1100,1,1,1,1
3076,0002,0001,0001,0011,0,1,1100,1,1,1,1
3086,0002,0001,0001,0100,0,1,1010,1,1,1,1
3096,0002,0001,0001,0101,0,1,1010,1,1,1,1
3106,0002,0001,0001,0110,0,1,1000,1,1,1,1
3116,0002,0001,0001,0111,0,1,1000,1,1,1,1
3126,0002,0001,0001,1000,0,1,0110,1,1,1,1
3136,0002,0001,0001,1001,0,1,0110,1,1,1,1
3146,0002,0001,0001,1010,0,1,0100,1,1,1,1
3156,0002,0001,0001,1011,0,1,0100,1,1,1,1
3166,0002,0001,0001,1100,0,1,0010,1,1,1,1
3176,0002,0001,0001,1101,0,1,0010,1,1,1,1
3186,0002,0001,0001,1110,0,1,0000,1,1,1,1
3196,0002,0001,0001,1111,0,1,0000,1,1,1,1
3206,0002,0001,0010,0000,0,1,1101,1,1,1,1
3216,0002,0001,0010,0001,0,1,1100,1,1,1,1
3226,0002,0001,0010,0010,0,1,1101,1,1,1,1
3236,0002,0001,0010,0011,0,1,1100,1,1,1,1
3246,0002,0001,0010,0100,0,1,1001,1,1,1,1
3256,0002,0001,0010,0101,0,1,1000,1,1,1,1
3266,0002,0001,0010,0110,0,1,1001,1,1,1,1
3276,0002,0001,0010,0111,0,1,1000,1,1,1,1
3286,0002,0001,0010,1000,0,1,0101,1,1,1,1
3296,0002,0001,0010,1001,0,1,0100,1,1,1,1
3306,0002,0001,0010,1010,0,1,0101,1,1,1,1
3316,0002,0001,0010,1011,0,1,0100,1,1,1,1
3326,0002,0001,0010,1100,0,1,0001,1,1,1,1
3336,0002,0001,0010,1101,0,1,0000,1,1,1,1
3346,0002,0001,0010,1110,0,1,0001,1,1,1,1
3356,0002,0001,0010,1111,0,1,0000,1,1,1,1
3366,0002,0001,0011,0000,0,1,1100,1,1,1,1
3376,0002,0001,0011,0001,0,1,1100,1,1,1,1
3386,0002,0001,0011,0010,0,1,1100,1,1,1,1
3396,0002,0001,0011,0011,0,1,1100,1,1,1,1
3406,0002,0001,0011,0100,0,1,1000,1,1,1,1
3416,0002,0001,0011,0101,0,1,1000,1,1,1,1
3426,0002,0001,0011,0110,0,1,1000,1,1,1,1
3436,0002,0001,0011,0111,0,1,1000,1,1,1,1
3446,0002,0001,0011,1000,0,1,0100,1,1,1,1
3456,0002,0001,0011,1001,0,1,0100,1,1,1,1
3466,0002,0001,0011,1010,0,1,0100,1,1,1,1
3476,0002,0001,0011,1011,0,1,0100,1,1,1,1
3486,0002,0001,0011,1100,0,1,0000,1,1,1,1
3496,0002,0001,0011,1101,0,1,0000,1,1,1,1
3506,0002,0001,0011,1110,0,1,0000,1,1,1,1
3516,0002,0001,0011,1111,0,1,0000,1,1,1,1
3526,0002,0001,0100,0000,0,1,1011,1,1,1,1
3536,0002,0001,0100,0001,0,1,1010,1,1,1,1
3546,0002,0001,0100,0010,0,1,1001,1,1,1,1
3556,0002,0001,0100,0011,0,1,1000,1,1,1,1
3566,0002,0001,0100,0100,0,1,1011,1,1,1,1
3576,0002,0001,0100,0101,0,1,1010,1,1,1,1
3586,0002,0001,0100,0110,0,1,1001,1,1,1,1
3596,0002,0001,0100,0111,0,1,1000,1,1,1,1
3606,0002,0001,0100,1000,0,1,0011,1,1,1,1
3616,0002,0001,0100,1001,0,1,0010,1,1,1,1
3626,0002,0001,0100,1010,0,1,0001,1,1,1,1
3636,0002,0001,0100,1011,0,1,0000,1,1,1,1
3646,0002,0001,0100,1100,0,1,0011,1,1,1,1
3656,0002,0001,0100,1101,0,1,0010,1,1,1,1
3666,0002,0001,0100,1110,0,1,0001,1,1,1,1
3676,0002,0001,0100,1111,0,1,0000,1,1,1,1
3686,0002,0001,0101,0000,0,1,1010,1,1,1,1
3696,0002,0001,0101,0001,0,1,1010,1,1,1,1
3706,0002,0001,0101,0010,0,1,1000,1,1,1,1
3716,0002,0001,0101,0011,0,1,1000,1,1,1,1
3726,0002,0001,0101,0100,0,1,1010,1,1,1,1
3736,0002,0001,0101,0101,0,1,1010,1,1,1,1
3746,0002,0001,0101,0110,0,1,1000,1,1,1,1
3756,0002,0001,0101,0111,0,1,1000,1,1,1,1
3766,0002,0001,0101,1000,0,1,0010,1,1,1,1
3776,0002,0001,0101,1001,0,1,0010,1,1,1,1
3786,0002,0001,0101,1010,0,1,0000,1,1,1,1
3796,0002,0001,0101,1011,0,1,0000,1,1,1,1
3806,0002,0001,0101,1100,0,1,0010,1,1,1,1
